New England,Patriots,14,2,0,AFC East
Miami,Dolphins,10,6,0,AFC East
Buffalo,Bills,7,9,0,AFC East
New York,Jets,5,11,0,AFC East
Pittsburgh,Steelers,11,5,0,AFC North
Baltimore,Ravens,8,8,0,AFC North
Cincinnati,Bengals,6,9,1,AFC North
Cleveland,Browns,1,15,0,AFC North
Houston,Texans,9,7,0,AFC South
Tennessee,Titans,9,7,0,AFC South
Indianapolis,Colts,8,8,0,AFC South
Jacksonville,Jaguars,3,13,0,AFC South
Kansas City,Chiefs,12,4,0,AFC West
Oakland,Raiders,12,4,0,AFC West
Denver,Broncos,9,7,0,AFC West
San Diego,Chargers,5,11,0,AFC West
Dallas,Cowboys,13,3,0,NFC East
New York,Giants,11,5,0,NFC East
Washington,Redskins,8,7,1,NFC East
Philadelphia,Eagles,7,9,0,NFC East
Green Bay,Packers,10,6,0,NFC North
Detroit,Lions,9,7,0,NFC North
Minnesota,Vikings,8,8,0,NFC North
Chicago,Bears,3,13,0,NFC North
Atlanta,Falcons,11,5,0,NFC South
Tampa Bay,Buccaneers,9,7,0,NFC South
New Orleans,Saints,9,7,0,NFC South
Carolina,Panthers,7,9,0,NFC South
Seattle,Seahawks,10,5,1,NFC West
Arizona,Cardinals,7,8,1,NFC West
Los Angeles,Rams,4,12,0,NFC West
San Francisco,49ers,2,14,0,NFC West
